date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1980-12-12,28.75,28.87,28.75,28.75,2093900,0.100574783701725,0.100994574103263,0.100574783701725,0.100574783701725,469034069,0.0,1.0
1980-12-15,27.25,27.38,27.25,27.38,785200,0.0953274036825049,0.095782176617504,0.0953274036825049,0.095782176617504,175884975,0.0,1.0
1980-12-16,25.25,25.37,25.25,25.37,472000,0.088330896990211,0.0887506873917486,0.088330896990211,0.0887506873917486,105728105,0.0,1.0
1980-12-17,25.87,26.0,25.87,25.87,385900,0.0904998140648221,0.0909545869998212,0.0904998140648221,0.0904998140648221,86441686,0.0,1.0
1980-12-18,26.63,26.75,26.63,26.63,327900,0.0931584866078938,0.0935782770094314,0.0931584866078938,0.0931584866078938,73449673,0.0,1.0
1980-12-19,28.25,28.38,28.25,28.25,217100,0.0988256570286519,0.099280429963651,0.0988256570286519,0.0988256570286519,48630448,0.0,1.0
1980-12-22,29.63,29.75,29.63,29.63,166800,0.103653246646335,0.104073037047872,0.103653246646335,0.103653246646335,37363237,0.0,1.0
1980-12-23,30.88,31.0,30.88,30.88,209600,0.108026063329018,0.108445853730556,0.108026063329018,0.108026063329018,46950446,0.0,1.0
1980-12-24,32.5,32.63,32.5,32.5,214300,0.113693233749777,0.114148006684776,0.113693233749777,0.113693233749777,48003248,0.0,1.0
1980-12-26,35.5,35.62,35.5,35.5,248100,0.124187993788217,0.124607784189755,0.124187993788217,0.124187993788217,55574455,0.0,1.0
1980-12-29,36.0,36.13,36.0,36.0,415900,0.125937120461291,0.12639189339629,0.125937120461291,0.125937120461291,93161693,0.0,1.0
1980-12-30,35.12,35.25,35.12,35.25,307500,0.122858657516682,0.123313430451681,0.122858657516682,0.123313430451681,68880068,0.0,1.0
1980-12-31,34.13,34.25,34.13,34.25,159600,0.119395386703996,0.119815177105534,0.119395386703996,0.119815177105534,35750435,0.0,1.0
1981-01-02,34.5,34.75,34.5,34.5,96700,0.12068974044207,0.121564303778607,0.12068974044207,0.12068974044207,21660821,0.0,1.0
1981-01-05,33.75,33.87,33.75,33.87,159500,0.11806605043246,0.118485840833998,0.11806605043246,0.118485840833998,35728035,0.0,1.0
